codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
80438,80438,80438,80438,80438,INCIDENTE,-22.81,-4.325.055.555.555,RIO DE JANEIRO,COM PESSOAL EM VOO,OUTROS | COM PESSOAL EM VOO,RJ,BRASIL,SBGL,08/12/2021,21:35:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80442,80442,80442,80442,80442,ACIDENTE,-23.025.686,-55.589.057,ARAL MOREIRA,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,MS,BRASIL,***,08/12/2021,00:00:00,SIM,FINALIZADA,A DEFINIR,NÃO,NULL,0,1,NÃO
80418,80418,80418,80418,80418,ACIDENTE,-1.971.083.333.333,-4.843.444.444.444,VERÍSSIMO,COLISÃO COM AVE,COLISÃO COM AVE,MG,BRASIL,**NI,07/12/2021,11:10:00,SIM,ATIVA,A-138/CENIPA/2021,NÃO,NULL,0,1,NÃO
80424,80424,80424,80424,80424,INCIDENTE,-2.081.611.111.111,-4.940.472.222.222,SÃO JOSÉ DO RIO PRETO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SP,BRASIL,SBSR,07/12/2021,19:51:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80433,80433,80433,80433,80433,INCIDENTE,-2.300.694.444.444,-4.713.444.444.444,CAMPINAS,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,SP,BRASIL,SBKP,07/12/2021,22:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80412,80412,80412,80412,80412,INCIDENTE,-25.403.333,-49.233.611,CURITIBA,CORTANTE DE VENTO / TEMPESTADE,CORTANTE DE VENTO / TEMPESTADE,PR,BRASIL,SBBI,05/12/2021,12:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80419,80419,80419,80419,80419,ACIDENTE,-10.884.167,-49.617.222,LAGOA DA CONFUSÃO,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,TO,BRASIL,***,05/12/2021,17:55:00,SIM,ATIVA,A-137/CENIPA/2021,NÃO,NULL,0,1,NÃO
80415,80415,80415,80415,80415,ACIDENTE,-671.944,-5.161.194,SÃO FÉLIX DO XINGU,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PA,BRASIL,***,03/12/2021,20:00:00,SIM,ATIVA,A-135/CENIPA/2021,NÃO,NULL,0,1,NÃO
80416,80416,80416,80416,80416,INCIDENTE,-3.041.111.111.111,-6.005.055.555.555,MANAUS,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AM,BRASIL,SBEG,03/12/2021,04:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80417,80417,80417,80417,80417,ACIDENTE,-2.089.472,-4.482.416,SANTO ANTÔNIO DO AMPARO,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,MG,BRASIL,***,03/12/2021,11:00:00,SIM,ATIVA,A-136/CENIPA/2021,NÃO,NULL,0,1,NÃO
80410,80410,80410,80410,80410,INCIDENTE,-22.81,-4.325.055.555.555,RIO DE JANEIRO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,RJ,BRASIL,SBGL,02/12/2021,09:20:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80411,80411,80411,80411,80411,INCIDENTE GRAVE,-4.495.722,-2.124.055,LAVRAS,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,MG,BRASIL,SSOL,02/12/2021,12:15:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80414,80414,80414,80414,80414,INCIDENTE,-29.044.444,-51.143.056,FLORES DA CUNHA,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,RS,BRASIL,SIFQ,02/12/2021,18:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80413,80413,80413,80413,80413,INCIDENTE GRAVE,-2.031.388.889,-5.376.805.556,RIBAS DO RIO PARDO,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,MS,BRASIL,SSWF,01/12/2021,10:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80422,80422,80422,80422,80422,INCIDENTE,-1.962.444.444.444,-4.397.194.444.444,BELO HORIZONTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,MG,BRASIL,SBCF,01/12/2021,23:05:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80409,80409,80409,80409,80409,INCIDENTE GRAVE,-2.254.972.222,-5.570.305.556,PONTA PORÃ,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,MS,BRASIL,SBPP,30/11/2021,19:05:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80408,80408,80408,80408,80408,INCIDENTE,-2.999.472.222.222,-5.117.111.111.111,PORTO ALEGRE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,RS,BRASIL,SBPA,29/11/2021,22:10:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80421,80421,80421,80421,80421,INCIDENTE,-2.343.555.555.555,-4.647.305.555.555,SÃO PAULO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SP,BRASIL,SBSP,29/11/2021,19:55:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80756,80756,80756,80756,80756,ACIDENTE,-14.198.333,-53.984.444,PARANATINGA,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,MT,BRASIL,**NI,28/11/2021,20:30:00,SIM,ATIVA,A-153/CENIPA/2021,NÃO,NULL,0,1,NÃO
80401,80401,80401,80401,80401,INCIDENTE,-1.956.055.555.555,-4.696.555.555.555,ARAXÁ,COLISÃO COM AVE,COLISÃO COM AVE,MG,BRASIL,SBAX,25/11/2021,18:08:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80402,80402,80402,80402,80402,ACIDENTE,-15.65,-561.175,CUIABÁ,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,MT,BRASIL,SBCY,25/11/2021,05:45:00,SIM,ATIVA,A-133/CENIPA/2021,NÃO,NULL,0,1,NÃO
80406,80406,80406,80406,80406,ACIDENTE,-23.413.333,-44.799.722,UBATUBA,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SP,BRASIL,***,25/11/2021,00:27:00,NÃO,ATIVA,A-134/CENIPA/2021,NÃO,NULL,0,1,NÃO
80398,80398,80398,80398,80398,ACIDENTE,-17.717.500,-45.819.167,JOÃO PINHEIRO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,MG,BRASIL,***,24/11/2021,11:40:00,NÃO,ATIVA,A-132/CENIPA/2021,NÃO,NULL,0,1,NÃO
80404,80404,80404,80404,80404,INCIDENTE,-23.090.000,-52.488.611,PARANAVAÍ,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,PR,BRASIL,SSPI,24/11/2021,16:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80397,80397,80397,80397,80397,INCIDENTE GRAVE,-18.366.667,-50.359.444,QUIRINÓPOLIS,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,GO,BRASIL,**NI,23/11/2021,10:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80395,80395,80395,80395,80395,INCIDENTE GRAVE,-284.139,-6.069.222,BOA VISTA,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,RR,BRASIL,SBBV,22/11/2021,06:40:00,SIM,ATIVA,IG-131/CENIPA/2021,NÃO,NULL,0,1,NÃO
80390,80390,80390,80390,80390,ACIDENTE,-2.238.166.667,-4.756.250.000,RIO CLARO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SP,BRASIL,SDRK,21/11/2021,14:00:00,SIM,ATIVA,A-130/CENIPA/2021,NÃO,NULL,0,1,NÃO
80388,80388,80388,80388,80388,INCIDENTE,1.825.000,-61.139.167,CARACARAÍ,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,RR,BRASIL,***,19/11/2021,16:40:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80393,80393,80393,80393,80393,ACIDENTE,597.222,-59.221.667,CAROEBE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RR,BRASIL,SJLJ,19/11/2021,19:15:00,SIM,ATIVA,A-129/CENIPA/2021,NÃO,NULL,0,1,SIM
80389,80389,80389,80389,80389,INCIDENTE,-2.254.972.222,-5.570.305.556,PONTA PORÃ,OPERAÇÕES NO SOLO,OPERAÇÕES NO SOLO,MS,BRASIL,SBPP,18/11/2021,14:43:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80386,80386,80386,80386,80386,INCIDENTE GRAVE,-2.347.944.444.444,-5.201.222.222.222,MARINGÁ,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,PR,BRASIL,SBMG,17/11/2021,02:35:00,SIM,ATIVA,IG-128/CENIPA/2021,NÃO,NULL,0,1,SIM
80394,80394,80394,80394,80394,INCIDENTE,-5.060.555.555.555,-4.282.444.444.444,TERESINA,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,PI,BRASIL,SBTE,17/11/2021,14:40:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80405,80405,80405,80405,80405,INCIDENTE,-2.350.666.667,-4.663.388.889,SÃO PAULO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,SP,BRASIL,SBMT,17/11/2021,15:52:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80382,80382,80382,80382,80382,INCIDENTE GRAVE,-2.271.000,-4.762.000,PIRACICABA,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,SP,BRASIL,SDPW,16/11/2021,20:50:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80407,80407,80407,80407,80407,INCIDENTE,-2.999.472.222.222,-5.117.111.111.111,PORTO ALEGRE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RS,BRASIL,SBPA,16/11/2021,22:10:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80396,80396,80396,80396,80396,INCIDENTE GRAVE,-26.058889 S,-53.063333 W,FRANCISCO BELTRÃO,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,PR,BRASIL,SSFB,15/11/2021,18:40:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80384,80384,80384,80384,80384,INCIDENTE GRAVE,-16.625.007,-49.349.905,GOIÂNIA,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,GO,BRASIL,SBNV,14/11/2021,18:48:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80403,80403,80403,80403,80403,INCIDENTE,-5.768.888.888.888,-3.536.638.888.888,NATAL,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,RN,BRASIL,SBSG,14/11/2021,18:35:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80380,80380,80380,80380,80380,ACIDENTE,-23.129.315,-4.657.472,ATIBAIA,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SP,BRASIL,SDTB,13/11/2021,15:00:00,SIM,ATIVA,A-127/CENIPA/2021,NÃO,NULL,0,1,SIM
80381,80381,80381,80381,80381,INCIDENTE,-3.072.778,-60.021.111,MANAUS,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,AM,BRASIL,SWFN,12/11/2021,18:25:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
