codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
80452,80452,80452,80452,80452,ACIDENTE,-22.585.556,-50.753.889,MARACAÍ,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SP,BRASIL,**NI,31/12/2021,09:30:00,SIM,ATIVA,A-152/CENIPA/2021,NÃO,NULL,0,1,NÃO
80457,80457,80457,80457,80457,INCIDENTE GRAVE,-29.695.833,-51.081.667,NOVO HAMBURGO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,RS,BRASIL,SSNH,31/12/2021,11:59:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80460,80460,80460,80460,80460,INCIDENTE,-25.403.333,-49.233.611,CURITIBA,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,PR,BRASIL,SBBI,31/12/2021,15:12:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80467,80467,80467,80467,80467,INCIDENTE,-93.675,-4.056.361.111.111,PETROLINA,CORTE INVOLUNTÁRIO DO MOTOR,OUTROS | CORTE INVOLUNTÁRIO DO MOTOR,PE,BRASIL,SBPL,31/12/2021,20:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80451,80451,80451,80451,80451,INCIDENTE,-304.111.111,-6.005.055.556,MANAUS,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO,AM,BRASIL,SBEG,30/12/2021,14:41:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80456,80456,80456,80456,80456,INCIDENTE,-23.626.111,-46.656.389,SÃO PAULO,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,SP,BRASIL,SBSP,30/12/2021,13:15:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80458,80458,80458,80458,80458,ACIDENTE,-17.999.194,-51.642.861,JATAÍ,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,GO,BRASIL,APUA,30/12/2021,20:30:00,SIM,ATIVA,A-151/CENIPA/2021,NÃO,NULL,0,1,SIM
80453,80453,80453,80453,80453,INCIDENTE,-2.300.694.444.444,-4.713.444.444.444,CAMPINAS,CONTATO ANORMAL COM A PISTAA,CONTATO ANORMAL COM A PISTA |,SP,BRASIL,SBKP,29/12/2021,09:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80454,80454,80454,80454,80454,INCIDENTE GRAVE,-21.144.167,-50.426.389,ARAÇATUBA,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,SP,BRASIL,SBAU,29/12/2021,21:35:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80455,80455,80455,80455,80455,INCIDENTE GRAVE,-704.638,-3.491.277,SANTA RITA,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,PB,BRASIL,**NI,29/12/2021,18:50:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80450,80450,80450,80450,80450,ACIDENTE,-2.209.388.889,-5.537.583.333,DOURADOS,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,MS,BRASIL,**NI,28/12/2021,10:30:00,SIM,ATIVA,A-150/CENIPA/2021,NÃO,NULL,0,1,SIM
80463,80463,80463,80463,80463,INCIDENTE,-23.479.444,-52.012.222,MARINGÁ,COLISÃO COM AVE,COLISÃO COM AVE,PR,BRASIL,SBMG,28/12/2021,16:11:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80468,80468,80468,80468,80468,INCIDENTE,-1.291.416.666.666,-3.833.222.222.222,SALVADOR,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,BA,BRASIL,SBSV,26/12/2021,16:56:00,SIM,ATIVA,I-149/CENIPA/2021,NÃO,NULL,0,2,NÃO
80509,80509,80509,80509,80509,INCIDENTE,-15.65,-561.175,CUIABÁ,AERONAVE ATINGIDA POR OBJETO,OUTROS | AERONAVE ATINGIDA POR OBJETO,MT,BRASIL,SBCY,26/12/2021,01:53:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80461,80461,80461,80461,80461,INCIDENTE,-2.347.944.444.444,-5.201.222.222.222,MARINGÁ,COLISÃO COM AVE,COLISÃO COM AVE,PR,BRASIL,SBMG,24/12/2021,03:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80510,80510,80510,80510,80510,INCIDENTE,-2.347.944.444.444,-5.201.222.222.222,MARINGÁ,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,PR,BRASIL,SBMG,24/12/2021,03:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80545,80545,80545,80545,80545,INCIDENTE,-2.343.555.555.555,-4.647.305.555.555,GUARULHOS,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,SP,BRASIL,SBGR,22/12/2021,11:50:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80465,80465,80465,80465,80465,INCIDENTE,-2.025.666.666.666,-40.286.111.111,VITÓRIA,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,ES,BRASIL,SBVT,21/12/2021,22:25:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80583,80583,80583,80583,80583,INCIDENTE,-2.343.555.555.555,-4.647.305.555.555,GUARULHOS,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,SP,BRASIL,SBGR,21/12/2021,10:33:00,SIM,FINALIZADA,***,NÃO,NULL,0,2,NÃO
80441,80441,80441,80441,80441,ACIDENTE,-230.052,-466.336,BRAGANÇA PAULISTA,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,SP,BRASIL,SDVH,20/12/2021,18:15:00,SIM,ATIVA,A-148/CENIPA/2021,NÃO,NULL,0,1,SIM
80444,80444,80444,80444,80444,ACIDENTE,-21.440279°,-52.4453257°,SANTA RITA DO PARDO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,MS,BRASIL,***,20/12/2021,14:30:00,SIM,ATIVA,A-147/CENIPA/2021,NÃO,NULL,0,1,NÃO
80445,80445,80445,80445,80445,ACIDENTE,-12.545.000,-60.867.222,CHUPINGUAIA,CORTANTE DE VENTO / TEMPESTADE,CORTANTE DE VENTO / TEMPESTADE,RO,BRASIL,APUA,20/12/2021,12:05:00,SIM,ATIVA,A-145/CENIPA/2021,NÃO,NULL,0,1,SIM
80446,80446,80446,80446,80446,ACIDENTE,-913.611,-5.705.444,JACAREACANGA,F.O.D.,OUTROS | F.O.D.,PA,BRASIL,**NI,20/12/2021,17:10:00,SIM,ATIVA,A-146/CENIPA/2021,NÃO,NULL,0,1,NÃO
80440,80440,80440,80440,80440,ACIDENTE,-28.874.307,-55.824.230,SÃO BORJA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RS,BRASIL,***,19/12/2021,12:00:00,SIM,ATIVA,A-144/CENIPA/2021,NÃO,NULL,0,1,NÃO
80443,80443,80443,80443,80443,INCIDENTE,-1.290.861.111.111,-383.225,SALVADOR,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,BA,BRASIL,SBSV,18/12/2021,14:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80448,80448,80448,80448,80448,INCIDENTE GRAVE,-11.895.278,-49.692.222,FORMOSO DO ARAGUAIA,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,TO,BRASIL,**NI,18/12/2021,19:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80431,80431,80431,80431,80431,INCIDENTE,-239.280,-462.997,SANTOS,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SP,BRASIL,SBST,15/12/2021,12:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80447,80447,80447,80447,80447,INCIDENTE,-1.962.444.444.444,-4.397.194.444.444,CONFINS,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,MG,BRASIL,SBCF,15/12/2021,17:10:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80429,80429,80429,80429,80429,ACIDENTE,-27.903.611,-54.514.444,SANTA ROSA,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RS,BRASIL,SSZR,14/12/2021,13:00:00,SIM,ATIVA,A-143/CENIPA/2021,NÃO,NULL,0,1,SIM
80434,80434,80434,80434,80434,ACIDENTE,-21.942.778,-56.885.556,CARACOL,SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | SUPERAQUECIMENTO,MS,BRASIL,***,14/12/2021,21:35:00,SIM,ATIVA,A-142/CENIPA/2021,NÃO,NULL,0,1,NÃO
80427,80427,80427,80427,80427,INCIDENTE GRAVE,-10.022.222,-58.237.222,NOVA BANDEIRANTES,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,MT,BRASIL,**NI,12/12/2021,17:20:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
80435,80435,80435,80435,80435,INCIDENTE,-2.025.805.555.555,-4.028.638.888.888,VITÓRIA,COLISÃO COM AVE,COLISÃO COM AVE,ES,BRASIL,SBVT,12/12/2021,23:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80426,80426,80426,80426,80426,ACIDENTE,-22.182225°,-52.693583°,ANAURILÂNDIA,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,MS,BRASIL,**NI,11/12/2021,20:00:00,SIM,ATIVA,A-141/CENIPA/2021,NÃO,NULL,0,1,NÃO
80428,80428,80428,80428,80428,ACIDENTE,-33.105.278,-53.039.167,SANTA VITÓRIA DO PALMAR,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,RS,BRASIL,***,11/12/2021,19:40:00,NÃO,ATIVA,A-140/CENIPA/2021,NÃO,NULL,0,1,NÃO
80430,80430,80430,80430,80430,INCIDENTE,-22.81,-4.325.055.555.555,RIO DE JANEIRO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,RJ,BRASIL,SBGL,10/12/2021,11:05:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80538,80538,80538,80538,80538,INCIDENTE,-1.481.500,-3.903.333,ILHÉUS,COLISÃO COM AVE,COLISÃO COM AVE,BA,BRASIL,SBIL,10/12/2021,22:40:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80425,80425,80425,80425,80425,INCIDENTE,-23.626.111,-46.656.389,SÃO PAULO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SP,BRASIL,SBSP,09/12/2021,20:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80436,80436,80436,80436,80436,INCIDENTE,-10.29,-4.835.777.777.777,PALMAS,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,TO,BRASIL,SBPJ,09/12/2021,22:10:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80526,80526,80526,80526,80526,INCIDENTE GRAVE,-2.258.339.313.513,-4.789.613.256.107,SÃO PEDRO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SP,BRASIL,SDAE,09/12/2021,15:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80544,80544,80544,80544,80544,INCIDENTE,-23.435.556,-46.473.056,GUARULHOS,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,SP,BRASIL,SBGR,09/12/2021,11:53:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80420,80420,80420,80420,80420,INCIDENTE,-25.294.167,-49.276111 W,CURITIBA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PR,BRASIL,SBBI,08/12/2021,13:16:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
80423,80423,80423,80423,80423,ACIDENTE,-12.090.000,-57.990.833,BRASNORTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,MT,BRASIL,***,08/12/2021,12:45:00,SIM,ATIVA,A-139/CENIPA/2021,NÃO,NULL,0,1,NÃO
